Main Category,Subcategory,Full Product Name,Duration,Official Price,Our Price,Features,Activation Time,Warranty,Notes
Cloud Storage,Google Storage,Google Storage - 100GB (6 Months),6 Months,₹780,₹499,"100GB Cloud Storage, Linked to Gmail",Within 1-2 Hrs,180 Days,-
Cloud Storage,Google Storage,Google Storage - 500GB + Gemini Pro,12 Months,₹1800,₹999,500GB Storage + Gemini Pro Access,Within 1-2 Hrs,365 Days,-
Cloud Storage,Google Storage,Google Storage - 1TB + Gemini Pro,12 Months,₹2200,₹1299,1TB Cloud + Gemini Pro AI Tool,Within 1-2 Hrs,365 Days,-
Cloud Storage,Google Storage,Google Gemini Pro - 2TB Private,12 Months,₹2999,₹1499,"Private Access, 2TB Cloud + Gemini AI",Within 1-2 Hrs,365 Days,-
Cloud Storage,TeraBox,TeraBox - 1TB (1 Month),1 Month,₹149,₹49,"1TB Secure Cloud, Fast Upload/Download",Within 1-2 Hrs,30 Days,-
Cloud Storage,TeraBox,TeraBox - 1TB (3 Months),3 Months,₹399,₹119,"1TB Storage, Premium Speed",Within 1-2 Hrs,90 Days,-
Cloud Storage,TeraBox,TeraBox - 1TB (6 Months),6 Months,₹699,₹199,"Fast Storage Access, 1TB Limit",Within 1-2 Hrs,180 Days,-
Cloud Storage,TeraBox,TeraBox - 1TB (12 Months),12 Months,₹1399,₹349,"Private Login, Long-Term Cloud",Within 1-2 Hrs,365 Days,-
